position,IconPath,GROUP Name,Name,URL
7,https://cdn.jsdelivr.net/gh/PapirusDevelopmentTeam/papirus_icons//src/apps_faceunlock.svg,CHS - Tools,Account Unlock,https://passwordreset.microsoftonline.com
7,https://cdn.jsdelivr.net/gh/selfhst/icons/png/omada.png,CHS - Tools,OMADA,https://access.chsinc.com/home
7,https://cdn.jsdelivr.net/gh/PapirusDevelopmentTeam/papirus_icons//src/apps_solar_system_scope.svg,CHS - Tools,Solarwinds,https://orion.chsinc.ds/Orion/SummaryView.aspx?ViewID=606
7,https://cdn.jsdelivr.net/gh/selfhst/icons/svg/cyberchef-light.svg,CHS - Tools,CHEF,https://chef-automate.chsinc.ds/
7,https://cdn.jsdelivr.net/gh/PapirusDevelopmentTeam/papirus_icons//src/apps_smt_camera.svg,CHS - Tools,Milestone Portal,https://online.milestonesys.com/Account/Login#/
7,https://cdn.jsdelivr.net/gh/selfhst/icons/png/owntracks-light.png,CHS - Tools,Dynatrace,https://ugt80968.live.dynatrace.com/#vcenters/vcenterdetails;id=VCENTER-D2AA295B1D702FBF;gtf=-2h
7,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/infoblox.png,CHS - Tools,Infoblox,https://infoblox.chsinc.ds
7,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/cloudflare-zero-trust.png,CHS - Tools,Bomgar USKSMCP1,https://ks100bomgar.chsinc.com/login/status
7,https://cdn.jsdelivr.net/gh/selfhst/icons/svg/jetkvm.svg,CHS - Tools,KVM USKSMCP1,https://172.20.220.11/home.asp
8,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/synology-document-viewer.png,CHS - Docs,IT Camera Policy,https://chsinc.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D9c2df5b91b656510baf5866fdc4bcbcf%26sysparm_rank%3D1%26sysparm_tsqueryId%3Db0a83c7a1b7ba9d0e0028663cc4bcb86
8,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/synology-document-viewer.png,CHS - Docs,Change Control Documents,https://clients.intelex.com/Login3/CHS/Application/DocCtrl/Documents
8,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/synology-document-viewer.png,CHS - Docs,Global Infra CMDB KS100,https://chsinc.sharepoint.com/sites/IT/CMDB%20Site%20Repository/Shared%20Documents/Forms/AllItems.aspx?OR=Teams%2DHL&CT=1654206032772&params=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiIyNy8yMjA1MDEwMTAwOSJ9&id=%2Fsites%2FIT%2FCMDB%20Site%20Repository%2FShared%20Documents%2FUSKSMCP1&viewid=d2b6d247%2D9537%2D4938%2Dbd14%2D374cc5c0e5ba
8,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/synology-document-viewer.png,CHS - Docs,Global Infra CMDB All,https://chsinc.sharepoint.com/sites/IT/CMDB%20Site%20Repository/Shared%20Documents/Forms/AllItems.aspx?OR=Teams%2DHL&CT=1654206032772&params=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiIyNy8yMjA1MDEwMTAwOSJ9&viewid=d2b6d247%2D9537%2D4938%2Dbd14%2D374cc5c0e5ba
8,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/synology-document-viewer.png,CHS - Docs,Service Now CMDB,https://chsinc.service-now.com/nav_to.do?uri=%2Fcmdb_ci_server_list.do%3Fsysparm_userpref_module%3D8233ee770a0a0a64018f2cc165cdf2ed%26sysparm_clear_stack%3Dtrue


